Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
14-JAN-2020,10051.2,10083.85,10032.85,10075.85,1398511254.0,33002.03
15-JAN-2020,10070.0,10095.95,10030.95,10087.05,1741707843.0,34074.07
16-JAN-2020,10099.95,10132.15,10076.6,10110.05,1400285555.0,32031.47
17-JAN-2020,10096.4,10138.45,10089.5,10118.7,2253454671.0,36222.12
20-JAN-2020,10174.95,10174.95,10019.05,10025.7,1570516879.0,34841.32
21-JAN-2020,10001.85,10033.3,9977.7,9987.55,1785958482.0,32943.62
22-JAN-2020,10029.55,10034.05,9935.0,9947.0,1601280854.0,34730.58
23-JAN-2020,9961.8,10027.8,9944.1,10021.4,2348271533.0,41988.35
24-JAN-2020,10019.95,10101.25,9999.25,10083.7,1554197670.0,33984.98
27-JAN-2020,10046.45,10077.45,9989.55,9999.6,1255907969.0,32307.54
28-JAN-2020,10023.5,10041.05,9934.2,9956.95,1525368903.0,37154.32
29-JAN-2020,10006.95,10039.05,9990.2,10009.3,1421633405.0,36402.71
30-JAN-2020,10025.35,10026.9,9902.3,9919.2,1576991322.0,36709.68
31-JAN-2020,9968.4,9971.2,9849.25,9861.45,1676651649.0,41550.72
01-FEB-2020,9844.9,9918.35,9582.85,9606.05,1356395404.0,34742.5
03-FEB-2020,9578.5,9682.65,9559.85,9650.55,1517719962.0,41798.82
04-FEB-2020,9711.95,9858.65,9711.1,9853.05,1476102799.0,40692.81
05-FEB-2020,9880.15,9955.9,9847.05,9951.35,1660431859.0,41108.91
06-FEB-2020,9979.65,10022.5,9953.2,10004.2,1584104050.0,43224.18
07-FEB-2020,10019.45,10021.7,9974.55,10000.75,1351171129.0,35725.49
10-FEB-2020,10008.75,10008.75,9917.65,9945.65,1275391055.0,31922.85
11-FEB-2020,10004.05,10044.15,9979.6,9987.05,1282206787.0,32823.86
12-FEB-2020,10020.6,10067.7,10015.85,10037.1,1517147187.0,33551.4
13-FEB-2020,10049.85,10053.2,9990.35,10017.75,1277817655.0,30866.97
14-FEB-2020,10031.25,10071.7,9947.65,9961.05,2683502020.0,36057.65
17-FEB-2020,9976.15,9990.75,9884.95,9891.0,1949296593.0,31815.54
18-FEB-2020,9876.7,9877.6,9768.45,9845.55,2126824758.0,35579.43
19-FEB-2020,9921.3,9974.85,9895.4,9970.5,2196256471.0,34015.83
20-FEB-2020,9969.9,10016.65,9950.6,9958.65,2314340813.0,40148.36
24-FEB-2020,9904.5,9904.5,9745.55,9758.2,1924819250.0,35670.29
25-FEB-2020,9796.45,9813.8,9711.75,9724.7,1836574624.0,34368.77
26-FEB-2020,9680.1,9713.2,9596.3,9622.7,1658136118.0,38031.2
27-FEB-2020,9612.4,9613.5,9496.55,9579.35,1775406576.0,37548.61
28-FEB-2020,9372.7,9374.85,9214.1,9236.05,2253598178.0,54244.58
02-MAR-2020,9380.4,9436.5,9105.0,9178.8,1860965164.0,43171.73
03-MAR-2020,9251.4,9348.55,9201.0,9324.3,1821519388.0,41393.78
04-MAR-2020,9362.9,9368.55,9125.45,9258.25,1877382216.0,45012.17
05-MAR-2020,9305.55,9365.55,9250.05,9280.15,2500204381.0,42422.36
06-MAR-2020,8997.05,9089.2,8918.55,9059.95,2936825544.0,42386.25
09-MAR-2020,8862.7,8870.15,8520.95,8631.35,3207301844.0,51647.39
11-MAR-2020,8556.1,8709.5,8555.8,8618.05,2872006191.0,48566.46
12-MAR-2020,8272.4,8272.85,7841.5,7901.35,3472376213.0,59518.1
13-MAR-2020,7425.05,8298.0,7028.7,8163.0,4174663660.0,63386.79
16-MAR-2020,7867.0,7904.25,7564.8,7591.9,3176431076.0,44203.82
17-MAR-2020,7642.35,7746.15,7383.35,7417.65,2542587898.0,42956.26
18-MAR-2020,7512.3,7543.05,6969.35,7010.55,4874966771.0,56338.03
19-MAR-2020,6676.85,7041.7,6483.15,6807.2,2742398434.0,50785.52
20-MAR-2020,6833.65,7267.25,6744.8,7160.1,2868975659.0,55055.32
23-MAR-2020,6522.8,6692.85,6226.1,6243.0,1654280663.0,32947.71
24-MAR-2020,6421.0,6556.65,6151.6,6365.45,1822797341.0,39365.18
25-MAR-2020,6299.75,6758.75,6291.85,6724.0,1609584079.0,39841.5
26-MAR-2020,6826.05,7079.75,6722.35,6993.85,2058864707.0,46930.74
27-MAR-2020,7230.55,7311.05,6902.9,7003.3,1953304259.0,45522.32
30-MAR-2020,6810.5,6947.95,6721.25,6749.2,1342385322.0,34557.69
31-MAR-2020,6938.05,7041.65,6808.75,6996.75,1637457914.0,38418.2
01-APR-2020,6995.55,6998.4,6720.45,6761.95,1325157333.0,30878.17
03-APR-2020,6831.65,6831.65,6619.55,6638.45,1629545801.0,38659.16
07-APR-2020,6913.5,7164.7,6842.95,7149.0,1905877368.0,51097.53
08-APR-2020,7090.4,7435.5,7061.35,7161.45,2175036885.0,56104.14
09-APR-2020,7335.2,7454.9,7298.4,7441.65,1903043499.0,49966.28
13-APR-2020,7450.2,7453.65,7279.0,7360.35,2415416399.0,43002.63
15-APR-2020,7503.0,7581.6,7298.55,7344.35,2823852623.0,62417.61
16-APR-2020,7297.8,7453.05,7268.25,7412.3,2106472595.0,48229.8
17-APR-2020,7665.4,7665.65,7489.2,7614.4,2497502001.0,53399.93
20-APR-2020,7712.2,7712.4,7602.1,7614.6,2219054607.0,46070.79
21-APR-2020,7436.5,7446.05,7346.55,7395.85,1882944565.0,45190.06
22-APR-2020,7421.85,7543.8,7350.25,7533.8,2142369093.0,50705.35
23-APR-2020,7575.55,7655.6,7540.4,7625.3,2285043159.0,46888.44
24-APR-2020,7519.6,7599.9,7485.55,7493.45,1939421775.0,50977.78
27-APR-2020,7578.0,7657.65,7572.1,7603.95,1630332943.0,44108.47
28-APR-2020,7690.55,7698.55,7584.85,7672.45,1782031657.0,46644.07
29-APR-2020,7702.6,7828.3,7692.95,7797.2,2061251466.0,48475.36
30-APR-2020,7947.15,8041.05,7933.3,8012.9,2658018047.0,61021.02
